clean_file,enhanced_file,sampling_rate,PESQ_Noisy,SI_SDR_Noisy,STOI_Noisy,DNSMOS_p808_mos_Noisy,DNSMOS_mos_sig_Noisy,DNSMOS_mos_bak_Noisy,DNSMOS_mos_ovr_Noisy,source_file,enhanced_file_mband_py_lin_avr1_future_frames,sampling_rate_mband_py_lin_avr1_future_frames,PESQ_mband_py_lin_avr1_future_frames,SI_SDR_mband_py_lin_avr1_future_frames,STOI_mband_py_lin_avr1_future_frames,DNSMOS_p808_mos_mband_py_lin_avr1_future_frames,DNSMOS_mos_sig_mband_py_lin_avr1_future_frames,DNSMOS_mos_bak_mband_py_lin_avr1_future_frames,DNSMOS_mos_ovr_mband_py_lin_avr1_future_frames,source_file_mband_py_lin_avr1_future_frames,enhanced_file_mband_py_lin_in_stream_avr1_og_wts_xmgasm,sampling_rate_mband_py_lin_in_stream_avr1_og_wts_xmgasm,PESQ_mband_py_lin_in_stream_avr1_og_wts_xmgasm,SI_SDR_mband_py_lin_in_stream_avr1_og_wts_xmgasm,STOI_mband_py_lin_in_stream_avr1_og_wts_xmgasm,DNSMOS_p808_mos_mband_py_lin_in_stream_avr1_og_wts_xmgasm,DNSMOS_mos_sig_mband_py_lin_in_stream_avr1_og_wts_xmgasm,DNSMOS_mos_bak_mband_py_lin_in_stream_avr1_og_wts_xmgasm,DNSMOS_mos_ovr_mband_py_lin_in_stream_avr1_og_wts_xmgasm,source_file_mband_py_lin_in_stream_avr1_og_wts_xmgasm,enhanced_file_mband_py_lin_circular_stream_avr1,sampling_rate_mband_py_lin_circular_stream_avr1,PESQ_mband_py_lin_circular_stream_avr1,SI_SDR_mband_py_lin_circular_stream_avr1,STOI_mband_py_lin_circular_stream_avr1,DNSMOS_p808_mos_mband_py_lin_circular_stream_avr1,DNSMOS_mos_sig_mband_py_lin_circular_stream_avr1,DNSMOS_mos_bak_mband_py_lin_circular_stream_avr1,DNSMOS_mos_ovr_mband_py_lin_circular_stream_avr1,source_file_mband_py_lin_circular_stream_avr1,enhanced_file_mband_py_lin_full_stream_og_wts_avr1,sampling_rate_mband_py_lin_full_stream_og_wts_avr1,PESQ_mband_py_lin_full_stream_og_wts_avr1,SI_SDR_mband_py_lin_full_stream_og_wts_avr1,STOI_mband_py_lin_full_stream_og_wts_avr1,DNSMOS_p808_mos_mband_py_lin_full_stream_og_wts_avr1,DNSMOS_mos_sig_mband_py_lin_full_stream_og_wts_avr1,DNSMOS_mos_bak_mband_py_lin_full_stream_og_wts_avr1,DNSMOS_mos_ovr_mband_py_lin_full_stream_og_wts_avr1,source_file_mband_py_lin_full_stream_og_wts_avr1,noise_category
p092_emo_adoration_freeform,BASELINE_p092_emo_adoration_freeform_NOIZEUS_NOISE_DATASET_cafeteria_babble_SNR[0]dB,16000,1.0672342777252195,-0.0616480335593223,0.6657214164733887,2.339170495669047,4.153013232777118,2.080801474717147,2.5163650343384623,BASELINE_NOIZEUS_EARS_metrics.csv_ENH-BASELINE_p092_emo_adoration_freeform_NOIZEUS_NOISE_DATASET_cafeteria_babble_SNR[0]dB_CLN-p092_emo_adoration_freeform.csv,mband_py_N6_lin_AVR1_8_p092_emo_adoration_freeform_NOIZEUS_NOISE_DATASET_cafeteria_babble_SNR[0]dB,16000,1.23534893989563,2.592714786529541,0.6671943664550781,2.505306919415792,3.788484601064425,2.5342756303709995,2.556076811491549,mband_py_N6_lin_AVR1_8_metrics.csv_ENH-mband_py_N6_lin_AVR1_8_p092_emo_adoration_freeform_NOIZEUS_NOISE_DATASET_cafeteria_babble_SNR[0]dB_CLN-p092_emo_adoration_freeform.csv,mband_py_N6_lin_AVR1_p092_emo_adoration_freeform_NOIZEUS_NOISE_DATASET_cafeteria_babble_SNR[0]dB,16000,1.1638469696044922,2.329663753509521,0.6513230204582214,2.478813330332438,2.7734526706142675,2.066182422804565,1.8094511878834527,mband_py_N6_lin_AVR1_metrics.csv_ENH-mband_py_N6_lin_AVR1_p092_emo_adoration_freeform_NOIZEUS_NOISE_DATASET_cafeteria_babble_SNR[0]dB_CLN-p092_emo_adoration_freeform.csv,mband_py_N6_lin_AVR1_p092_emo_adoration_freeform_NOIZEUS_NOISE_DATASET_cafeteria_babble_SNR[0]dB,16000,1.1405956745147705,2.454803943634033,0.6498408317565918,2.552228808403015,2.6031045381806144,2.154741517055321,1.7643536287521924,mband_py_N6_lin_AVR1_metrics.csv_ENH-mband_py_N6_lin_AVR1_p092_emo_adoration_freeform_NOIZEUS_NOISE_DATASET_cafeteria_babble_SNR[0]dB_CLN-p092_emo_adoration_freeform.csv,mband_py_N6_lin_AVR1_p092_emo_adoration_freeform_Noise Recordings_Car Noise_60mph_SNR[0]dB,16000,1.2163395881652832,5.3633012771606445,0.7519698143005371,3.2612192233403525,2.7050858329820606,2.453313709838436,1.9816135291048875,mband_py_N6_lin_AVR1_metrics.csv_ENH-mband_py_N6_lin_AVR1_p092_emo_adoration_freeform_Noise Recordings_Car Noise_60mph_SNR[0]dB_CLN-p092_emo_adoration_freeform.csv,Babble
p092_emo_adoration_sentences,BASELINE_p092_emo_adoration_sentences_NOIZEUS_NOISE_DATASET_Car Noise_60mph_SNR[0]dB,16000,1.0904881954193115,0.0255754683166742,0.6831189393997192,3.291677815573556,3.982278203567337,2.3249485526839133,2.6397158640076546,BASELINE_NOIZEUS_EARS_metrics.csv_ENH-BASELINE_p092_emo_adoration_sentences_NOIZEUS_NOISE_DATASET_Car Noise_60mph_SNR[0]dB_CLN-p092_emo_adoration_sentences.csv,mband_py_N6_lin_AVR1_8_p092_emo_adoration_sentences_NOIZEUS_NOISE_DATASET_Car Noise_60mph_SNR[0]dB,16000,1.2944825887680054,6.179986000061035,0.693667471408844,3.2820804119110107,3.738724734985096,2.695340534497732,2.6637740348355234,mband_py_N6_lin_AVR1_8_metrics.csv_ENH-mband_py_N6_lin_AVR1_8_p092_emo_adoration_sentences_NOIZEUS_NOISE_DATASET_Car Noise_60mph_SNR[0]dB_CLN-p092_emo_adoration_sentences.csv,mband_py_N6_lin_AVR1_p092_emo_adoration_sentences_NOIZEUS_NOISE_DATASET_Car Noise_60mph_SNR[0]dB,16000,1.2652637958526611,5.710951805114746,0.6854985356330872,3.2955759252820696,3.1433560307269253,2.902409844064922,2.428251832267386,mband_py_N6_lin_AVR1_metrics.csv_ENH-mband_py_N6_lin_AVR1_p092_emo_adoration_sentences_NOIZEUS_NOISE_DATASET_Car Noise_60mph_SNR[0]dB_CLN-p092_emo_adoration_sentences.csv,mband_py_N6_lin_AVR1_p092_emo_adoration_sentences_NOIZEUS_NOISE_DATASET_Car Noise_60mph_SNR[0]dB,16000,1.2583794593811035,5.621105194091797,0.6808074712753296,3.3370069095066617,3.095065802684512,2.950711131950787,2.374151942728822,mband_py_N6_lin_AVR1_metrics.csv_ENH-mband_py_N6_lin_AVR1_p092_emo_adoration_sentences_NOIZEUS_NOISE_DATASET_Car Noise_60mph_SNR[0]dB_CLN-p092_emo_adoration_sentences.csv,mband_py_N6_lin_AVR1_p092_emo_adoration_sentences_Noise Recordings_Car Noise_Idle Noise_40mph_SNR[0]dB,16000,1.288377285003662,5.864507675170898,0.6700478196144104,3.4315783636910573,3.2860176989547094,2.517781712426321,2.258010507549227,mband_py_N6_lin_AVR1_metrics.csv_ENH-mband_py_N6_lin_AVR1_p092_emo_adoration_sentences_Noise Recordings_Car Noise_Idle Noise_40mph_SNR[0]dB_CLN-p092_emo_adoration_sentences.csv,Car
p092_emo_amazement_freeform,BASELINE_p092_emo_amazement_freeform_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_40mph_SNR[0]dB,16000,1.046845555305481,-0.0022661311086267,0.736253023147583,2.7483157430376326,4.077721650315152,1.8823738212561207,2.376026342813176,BASELINE_NOIZEUS_EARS_metrics.csv_ENH-BASELINE_p092_emo_amazement_freeform_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_40mph_SNR[0]dB_CLN-p092_emo_amazement_freeform.csv,mband_py_N6_lin_AVR1_8_p092_emo_amazement_freeform_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_40mph_SNR[0]dB,16000,1.2310370206832886,8.149885177612305,0.7479504346847534,2.827333552496774,3.673794752846273,2.2528307968776367,2.4463530198069825,mband_py_N6_lin_AVR1_8_metrics.csv_ENH-mband_py_N6_lin_AVR1_8_p092_emo_amazement_freeform_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_40mph_SNR[0]dB_CLN-p092_emo_amazement_freeform.csv,mband_py_N6_lin_AVR1_p092_emo_amazement_freeform_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_40mph_SNR[0]dB,16000,1.2109050750732422,7.971996784210205,0.7379536032676697,2.983226673943656,3.2688200672617582,2.325250877693782,2.3470929808752907,mband_py_N6_lin_AVR1_metrics.csv_ENH-mband_py_N6_lin_AVR1_p092_emo_amazement_freeform_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_40mph_SNR[0]dB_CLN-p092_emo_amazement_freeform.csv,mband_py_N6_lin_AVR1_p092_emo_amazement_freeform_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_40mph_SNR[0]dB,16000,1.218008041381836,7.948770999908447,0.7387563586235046,3.010908773967198,3.4115339667507514,2.3850362645505023,2.419511851790092,mband_py_N6_lin_AVR1_metrics.csv_ENH-mband_py_N6_lin_AVR1_p092_emo_amazement_freeform_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_40mph_SNR[0]dB_CLN-p092_emo_amazement_freeform.csv,mband_py_N6_lin_AVR1_p092_emo_amazement_freeform_Noise Recordings_Car Noise_Idle Noise_60mph_SNR[0]dB,16000,1.1606903076171875,6.5479583740234375,0.750478208065033,2.8862451144627164,3.2133408247034043,2.3256556076379846,2.340110364914803,mband_py_N6_lin_AVR1_metrics.csv_ENH-mband_py_N6_lin_AVR1_p092_emo_amazement_freeform_Noise Recordings_Car Noise_Idle Noise_60mph_SNR[0]dB_CLN-p092_emo_amazement_freeform.csv,Car
p092_emo_amazement_sentences,BASELINE_p092_emo_amazement_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR[0]dB,16000,1.0949115753173828,0.0157875958830118,0.6954527497291565,3.091194868087769,4.021723695920817,2.1745096029849966,2.5055831200872976,BASELINE_NOIZEUS_EARS_metrics.csv_ENH-BASELINE_p092_emo_amazement_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR[0]dB_CLN-p092_emo_amazement_sentences.csv,mband_py_N6_lin_AVR1_8_p092_emo_amazement_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR[0]dB,16000,1.2801299095153809,7.472488880157471,0.7017719149589539,2.685680866241455,3.5445839684623617,2.687579429174836,2.612705514689705,mband_py_N6_lin_AVR1_8_metrics.csv_ENH-mband_py_N6_lin_AVR1_8_p092_emo_amazement_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR[0]dB_CLN-p092_emo_amazement_sentences.csv,mband_py_N6_lin_AVR1_p092_emo_amazement_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR[0]dB,16000,1.2411699295043943,6.919626235961914,0.6923572421073914,2.82302188873291,3.0164648851960134,2.3458791945855864,2.1342573443172976,mband_py_N6_lin_AVR1_metrics.csv_ENH-mband_py_N6_lin_AVR1_p092_emo_amazement_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR[0]dB_CLN-p092_emo_amazement_sentences.csv,mband_py_N6_lin_AVR1_p092_emo_amazement_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR[0]dB,16000,1.2539528608322144,7.0267486572265625,0.6913873553276062,2.8608787059783936,2.4690167935752485,2.522414579957495,1.919278402368352,mband_py_N6_lin_AVR1_metrics.csv_ENH-mband_py_N6_lin_AVR1_p092_emo_amazement_sentences_NOIZEUS_NOISE_DATASET_Car Noise_Idle Noise_60mph_SNR[0]dB_CLN-p092_emo_amazement_sentences.csv,mband_py_N6_lin_AVR1_p092_emo_amazement_sentences_Noise Recordings_Construction_Crane_Moving_SNR[0]dB,16000,1.0881322622299194,0.861944317817688,0.6293020844459534,2.418853759765625,3.670877413598243,1.6509237242787131,2.012697977824959,mband_py_N6_lin_AVR1_metrics.csv_ENH-mband_py_N6_lin_AVR1_p092_emo_amazement_sentences_Noise Recordings_Construction_Crane_Moving_SNR[0]dB_CLN-p092_emo_amazement_sentences.csv,Car
p092_emo_amusement_freeform,BASELINE_p092_emo_amusement_freeform_NOIZEUS_NOISE_DATASET_Construction_Crane_Moving_SNR[0]dB,16000,1.031414270401001,-0.0358588807284832,0.6414271593093872,2.2904826402664185,3.5712718763632827,1.4094170508500428,1.6665326785880443,BASELINE_NOIZEUS_EARS_metrics.csv_ENH-BASELINE_p092_emo_amusement_freeform_NOIZEUS_NOISE_DATASET_Construction_Crane_Moving_SNR[0]dB_CLN-p092_emo_amusement_freeform.csv,mband_py_N6_lin_AVR1_8_p092_emo_amusement_freeform_NOIZEUS_NOISE_DATASET_Construction_Crane_Moving_SNR[0]dB,16000,1.052348017692566,1.1549797058105469,0.6441171765327454,2.3763484954833984,3.84109446383136,1.736191321283782,2.1470879057820897,mband_py_N6_lin_AVR1_8_metrics.csv_ENH-mband_py_N6_lin_AVR1_8_p092_emo_amusement_freeform_NOIZEUS_NOISE_DATASET_Construction_Crane_Moving_SNR[0]dB_CLN-p092_emo_amusement_freeform.csv,mband_py_N6_lin_AVR1_p092_emo_amusement_freeform_NOIZEUS_NOISE_DATASET_Construction_Crane_Moving_SNR[0]dB,16000,1.0537000894546509,1.1063517332077026,0.6391907334327698,2.41972553730011,3.309009900502512,1.7625968040637916,1.880302164969858,mband_py_N6_lin_AVR1_metrics.csv_ENH-mband_py_N6_lin_AVR1_p092_emo_amusement_freeform_NOIZEUS_NOISE_DATASET_Construction_Crane_Moving_SNR[0]dB_CLN-p092_emo_amusement_freeform.csv,mband_py_N6_lin_AVR1_p092_emo_amusement_freeform_NOIZEUS_NOISE_DATASET_Construction_Crane_Moving_SNR[0]dB,16000,1.054051637649536,1.0541247129440308,0.6393275260925293,2.3766263723373413,3.1862393803974856,1.7071256004560855,1.799180830825862,mband_py_N6_lin_AVR1_metrics.csv_ENH-mband_py_N6_lin_AVR1_p092_emo_amusement_freeform_NOIZEUS_NOISE_DATASET_Construction_Crane_Moving_SNR[0]dB_CLN-p092_emo_amusement_freeform.csv,mband_py_N6_lin_AVR1_p092_emo_amusement_freeform_Noise Recordings_Construction_Drilling_SNR[0]dB,16000,1.0879778861999512,5.985239028930664,0.5698524117469788,2.381600856781006,2.820539144760084,1.821139672035328,1.7395697835286923,mband_py_N6_lin_AVR1_metrics.csv_ENH-mband_py_N6_lin_AVR1_p092_emo_amusement_freeform_Noise Recordings_Construction_Drilling_SNR[0]dB_CLN-p092_emo_amusement_freeform.csv,Construction
p092_emo_amusement_sentences,BASELINE_p092_emo_amusement_sentences_NOIZEUS_NOISE_DATASET_Construction_Drilling_SNR[0]dB,16000,1.0514533519744873,-0.0219533685594797,0.6786617636680603,2.6263198852539062,3.6337719950285288,1.6504708068332006,1.865346168585879,BASELINE_NOIZEUS_EARS_metrics.csv_ENH-BASELINE_p092_emo_amusement_sentences_NOIZEUS_NOISE_DATASET_Construction_Drilling_SNR[0]dB_CLN-p092_emo_amusement_sentences.csv,mband_py_N6_lin_AVR1_8_p092_emo_amusement_sentences_NOIZEUS_NOISE_DATASET_Construction_Drilling_SNR[0]dB,16000,1.1405175924301147,4.839828014373779,0.6977415680885315,2.7774675687154136,3.039585880149348,2.204313020536949,1.9774397400207555,mband_py_N6_lin_AVR1_8_metrics.csv_ENH-mband_py_N6_lin_AVR1_8_p092_emo_amusement_sentences_NOIZEUS_NOISE_DATASET_Construction_Drilling_SNR[0]dB_CLN-p092_emo_amusement_sentences.csv,mband_py_N6_lin_AVR1_p092_emo_amusement_sentences_NOIZEUS_NOISE_DATASET_Construction_Drilling_SNR[0]dB,16000,1.1334494352340698,4.491657257080078,0.6690188050270081,2.688792864481608,1.5804737227664216,1.902161480791154,1.1041865656733636,mband_py_N6_lin_AVR1_metrics.csv_ENH-mband_py_N6_lin_AVR1_p092_emo_amusement_sentences_NOIZEUS_NOISE_DATASET_Construction_Drilling_SNR[0]dB_CLN-p092_emo_amusement_sentences.csv,mband_py_N6_lin_AVR1_p092_emo_amusement_sentences_NOIZEUS_NOISE_DATASET_Construction_Drilling_SNR[0]dB,16000,1.1378906965255735,4.658753871917725,0.6681129932403564,2.642957925796509,1.816928362755788,1.993003885963471,1.268506778968059,mband_py_N6_lin_AVR1_metrics.csv_ENH-mband_py_N6_lin_AVR1_p092_emo_amusement_sentences_NOIZEUS_NOISE_DATASET_Construction_Drilling_SNR[0]dB_CLN-p092_emo_amusement_sentences.csv,mband_py_N6_lin_AVR1_p092_emo_amusement_sentences_Noise Recordings_Construction_Jackhammer1_SNR[0]dB,16000,1.1459099054336548,3.062669038772583,0.7298683524131775,2.593144098917643,3.116826430707388,1.6705410363738562,1.6927764192776296,mband_py_N6_lin_AVR1_metrics.csv_ENH-mband_py_N6_lin_AVR1_p092_emo_amusement_sentences_Noise Recordings_Construction_Jackhammer1_SNR[0]dB_CLN-p092_emo_amusement_sentences.csv,Construction
p092_emo_anger_freeform,BASELINE_p092_emo_anger_freeform_NOIZEUS_NOISE_DATASET_Construction_Jackhammer1_SNR[0]dB,16000,1.0795637369155884,-0.0186902247369289,0.6950518488883972,2.215935502733504,3.967556965941901,1.3496612515425508,1.7340406732599705,BASELINE_NOIZEUS_EARS_metrics.csv_ENH-BASELINE_p092_emo_anger_freeform_NOIZEUS_NOISE_DATASET_Construction_Jackhammer1_SNR[0]dB_CLN-p092_emo_anger_freeform.csv,mband_py_N6_lin_AVR1_8_p092_emo_anger_freeform_NOIZEUS_NOISE_DATASET_Construction_Jackhammer1_SNR[0]dB,16000,1.135457158088684,1.9304050207138064,0.7104158401489258,2.5893010071345737,3.305544133533313,1.541775591291333,1.6691374870777334,mband_py_N6_lin_AVR1_8_metrics.csv_ENH-mband_py_N6_lin_AVR1_8_p092_emo_anger_freeform_NOIZEUS_NOISE_DATASET_Construction_Jackhammer1_SNR[0]dB_CLN-p092_emo_anger_freeform.csv,mband_py_N6_lin_AVR1_p092_emo_anger_freeform_NOIZEUS_NOISE_DATASET_Construction_Jackhammer1_SNR[0]dB,16000,1.1151626110076904,1.382575511932373,0.6930716633796692,2.546286412647792,3.522963341997791,1.5713593175280656,1.8058419063075968,mband_py_N6_lin_AVR1_metrics.csv_ENH-mband_py_N6_lin_AVR1_p092_emo_anger_freeform_NOIZEUS_NOISE_DATASET_Construction_Jackhammer1_SNR[0]dB_CLN-p092_emo_anger_freeform.csv,mband_py_N6_lin_AVR1_p092_emo_anger_freeform_NOIZEUS_NOISE_DATASET_Construction_Jackhammer1_SNR[0]dB,16000,1.1151212453842163,1.4687848091125488,0.6935189366340637,2.536528144563948,3.528909274135984,1.484326673209456,1.6966631444905182,mband_py_N6_lin_AVR1_metrics.csv_ENH-mband_py_N6_lin_AVR1_p092_emo_anger_freeform_NOIZEUS_NOISE_DATASET_Construction_Jackhammer1_SNR[0]dB_CLN-p092_emo_anger_freeform.csv,mband_py_N6_lin_AVR1_p092_emo_anger_freeform_Noise Recordings_Construction_Jackhammer2_SNR[0]dB,16000,1.061542510986328,2.0370888710021973,0.6244033575057983,2.194805009024484,2.9729414354353603,1.590205087592047,1.5979673168506878,mband_py_N6_lin_AVR1_metrics.csv_ENH-mband_py_N6_lin_AVR1_p092_emo_anger_freeform_Noise Recordings_Construction_Jackhammer2_SNR[0]dB_CLN-p092_emo_anger_freeform.csv,Construction
p092_emo_anger_sentences,BASELINE_p092_emo_anger_sentences_NOIZEUS_NOISE_DATASET_Construction_Jackhammer2_SNR[0]dB,16000,1.0799018144607544,-0.0100509766489267,0.6121392846107483,2.4460514272962297,3.250561075130048,1.526948585882361,1.7481148841577556,BASELINE_NOIZEUS_EARS_metrics.csv_ENH-BASELINE_p092_emo_anger_sentences_NOIZEUS_NOISE_DATASET_Construction_Jackhammer2_SNR[0]dB_CLN-p092_emo_anger_sentences.csv,mband_py_N6_lin_AVR1_8_p092_emo_anger_sentences_NOIZEUS_NOISE_DATASET_Construction_Jackhammer2_SNR[0]dB,16000,1.1216450929641724,3.6587982177734375,0.6311649680137634,2.53376841545105,2.785539474278231,1.878482682476918,1.605988259224901,mband_py_N6_lin_AVR1_8_metrics.csv_ENH-mband_py_N6_lin_AVR1_8_p092_emo_anger_sentences_NOIZEUS_NOISE_DATASET_Construction_Jackhammer2_SNR[0]dB_CLN-p092_emo_anger_sentences.csv,mband_py_N6_lin_AVR1_p092_emo_anger_sentences_NOIZEUS_NOISE_DATASET_Construction_Jackhammer2_SNR[0]dB,16000,1.0942871570587158,2.118687868118286,0.6056508421897888,2.395637035369873,2.880785598735369,1.7459011890776883,1.5924874948679129,mband_py_N6_lin_AVR1_metrics.csv_ENH-mband_py_N6_lin_AVR1_p092_emo_anger_sentences_NOIZEUS_NOISE_DATASET_Construction_Jackhammer2_SNR[0]dB_CLN-p092_emo_anger_sentences.csv,mband_py_N6_lin_AVR1_p092_emo_anger_sentences_NOIZEUS_NOISE_DATASET_Construction_Jackhammer2_SNR[0]dB,16000,1.090256929397583,1.9885199069976809,0.6054742932319641,2.373471975326538,2.834771834624651,1.813300128081403,1.684861649166996,mband_py_N6_lin_AVR1_metrics.csv_ENH-mband_py_N6_lin_AVR1_p092_emo_anger_sentences_NOIZEUS_NOISE_DATASET_Construction_Jackhammer2_SNR[0]dB_CLN-p092_emo_anger_sentences.csv,mband_py_N6_lin_AVR1_p092_emo_anger_sentences_Noise Recordings_Construction_Trucks_Unloading_SNR[0]dB,16000,1.1905258893966677,5.837889671325684,0.6701095104217529,2.384718452181135,3.205286826113813,1.8001166906866666,1.8580238104841973,mband_py_N6_lin_AVR1_metrics.csv_ENH-mband_py_N6_lin_AVR1_p092_emo_anger_sentences_Noise Recordings_Construction_Trucks_Unloading_SNR[0]dB_CLN-p092_emo_anger_sentences.csv,Construction
p092_emo_confusion_freeform,BASELINE_p092_emo_confusion_freeform_NOIZEUS_NOISE_DATASET_Construction_Trucks_Unloading_SNR[0]dB,16000,1.0653318166732788,-0.0294066499918699,0.5996916890144348,2.10508063861302,3.5185175291529207,1.6680967000642646,1.9837911049820407,BASELINE_NOIZEUS_EARS_metrics.csv_ENH-BASELINE_p092_emo_confusion_freeform_NOIZEUS_NOISE_DATASET_Construction_Trucks_Unloading_SNR[0]dB_CLN-p092_emo_confusion_freeform.csv,mband_py_N6_lin_AVR1_8_p092_emo_confusion_freeform_NOIZEUS_NOISE_DATASET_Construction_Trucks_Unloading_SNR[0]dB,16000,1.136395812034607,2.987819194793701,0.5990445613861084,2.4808450085776195,3.9851479063886304,2.300460823018795,2.5876997063489315,mband_py_N6_lin_AVR1_8_metrics.csv_ENH-mband_py_N6_lin_AVR1_8_p092_emo_confusion_freeform_NOIZEUS_NOISE_DATASET_Construction_Trucks_Unloading_SNR[0]dB_CLN-p092_emo_confusion_freeform.csv,mband_py_N6_lin_AVR1_p092_emo_confusion_freeform_NOIZEUS_NOISE_DATASET_Construction_Trucks_Unloading_SNR[0]dB,16000,1.1845946311950684,6.10091495513916,0.5974206924438477,2.474573237555368,3.410925372545616,2.1815658313559383,2.2216968310438934,mband_py_N6_lin_AVR1_metrics.csv_ENH-mband_py_N6_lin_AVR1_p092_emo_confusion_freeform_NOIZEUS_NOISE_DATASET_Construction_Trucks_Unloading_SNR[0]dB_CLN-p092_emo_confusion_freeform.csv,mband_py_N6_lin_AVR1_p092_emo_confusion_freeform_NOIZEUS_NOISE_DATASET_Construction_Trucks_Unloading_SNR[0]dB,16000,1.2004354000091553,6.342968940734863,0.6061738729476929,2.504593508584158,3.4379190178206693,2.2059131209021365,2.276891748294873,mband_py_N6_lin_AVR1_metrics.csv_ENH-mband_py_N6_lin_AVR1_p092_emo_confusion_freeform_NOIZEUS_NOISE_DATASET_Construction_Trucks_Unloading_SNR[0]dB_CLN-p092_emo_confusion_freeform.csv,mband_py_N6_lin_AVR1_p092_emo_confusion_freeform_Noise Recordings_Inside Flight_SNR[0]dB,16000,1.1795333623886108,4.305835247039795,0.6214534640312195,2.4451845373426164,3.875725219477128,2.223092042037646,2.544527665276868,mband_py_N6_lin_AVR1_metrics.csv_ENH-mband_py_N6_lin_AVR1_p092_emo_confusion_freeform_Noise Recordings_Inside Flight_SNR[0]dB_CLN-p092_emo_confusion_freeform.csv,Construction
p092_emo_confusion_sentences,BASELINE_p092_emo_confusion_sentences_NOIZEUS_NOISE_DATASET_Inside Flight_SNR[0]dB,16000,1.26453959941864,-0.0184003598988056,0.4649150669574737,2.576535940170288,3.884979279231613,2.066306258257333,2.325490793186937,BASELINE_NOIZEUS_EARS_metrics.csv_ENH-BASELINE_p092_emo_confusion_sentences_NOIZEUS_NOISE_DATASET_Inside Flight_SNR[0]dB_CLN-p092_emo_confusion_sentences.csv,mband_py_N6_lin_AVR1_8_p092_emo_confusion_sentences_NOIZEUS_NOISE_DATASET_Inside Flight_SNR[0]dB,16000,1.4733006954193115,6.329298973083496,0.4833692610263824,2.7433648109436035,3.923295439714586,3.172039007074294,3.047646557032912,mband_py_N6_lin_AVR1_8_metrics.csv_ENH-mband_py_N6_lin_AVR1_8_p092_emo_confusion_sentences_NOIZEUS_NOISE_DATASET_Inside Flight_SNR[0]dB_CLN-p092_emo_confusion_sentences.csv,mband_py_N6_lin_AVR1_p092_emo_confusion_sentences_NOIZEUS_NOISE_DATASET_Inside Flight_SNR[0]dB,16000,1.466379165649414,6.253686904907227,0.4814459085464477,2.6131372451782227,3.7216635830521616,2.7751641857475144,2.7238095060598178,mband_py_N6_lin_AVR1_metrics.csv_ENH-mband_py_N6_lin_AVR1_p092_emo_confusion_sentences_NOIZEUS_NOISE_DATASET_Inside Flight_SNR[0]dB_CLN-p092_emo_confusion_sentences.csv,mband_py_N6_lin_AVR1_p092_emo_confusion_sentences_NOIZEUS_NOISE_DATASET_Inside Flight_SNR[0]dB,16000,1.445392370223999,4.587398529052734,0.4807227551937103,2.619746923446656,3.800852441378934,2.74245169034249,2.756311891546688,mband_py_N6_lin_AVR1_metrics.csv_ENH-mband_py_N6_lin_AVR1_p092_emo_confusion_sentences_NOIZEUS_NOISE_DATASET_Inside Flight_SNR[0]dB_CLN-p092_emo_confusion_sentences.csv,mband_py_N6_lin_AVR1_p092_emo_confusion_sentences_Noise Recordings_Inside Train_1_SNR[0]dB,16000,1.2515488862991333,1.2959084510803225,0.4749187231063843,2.65873646736145,3.5824036698896404,1.9743623866839264,2.231593918440302,mband_py_N6_lin_AVR1_metrics.csv_ENH-mband_py_N6_lin_AVR1_p092_emo_confusion_sentences_Noise Recordings_Inside Train_1_SNR[0]dB_CLN-p092_emo_confusion_sentences.csv,Flight
